city,latitude,longitude,date,nkill,nwound,gname
Colombo,6.941837,79.861687,1995-11-24,18.0,50.0,Liberation Tigers of Tamil Eelam (LTTE)
Batticaloa district,7.716668,81.70019,1995-12-05,57.0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
New York City,40.697132,-73.931351,1995-12-08,8.0,4.0,Black Nationalists
Colombo,6.941837,79.861687,1995-11-11,19.0,59.0,Liberation Tigers of Tamil Eelam (LTTE)
Peshawar,34.006004,71.53743,1995-12-21,42.0,100.0,Afghans
Batticaloa district,7.716666,81.700188,1995-12-30,1.0,2.0,Liberation Tigers of Tamil Eelam (LTTE)
Colombo,6.941837,79.861687,1996-01-31,90.0,1272.0,Liberation Tigers of Tamil Eelam (LTTE)
Majdal Selm,33.214611,35.461758,1996-02-20,1.0,0.0,Hezbollah
Jerusalem,31.771599,35.2034,1996-02-25,26.0,50.0,Hamas (Islamic Resistance Movement)
Ashkelon,31.670149,34.575153,1996-02-25,2.0,34.0,Hamas (Islamic Resistance Movement)
Jerusalem,31.771599,35.2034,1996-03-03,20.0,9.0,Hamas (Islamic Resistance Movement)
Tel Aviv,32.08297,34.811886,1996-03-04,13.0,105.0,Hamas (Islamic Resistance Movement)
Metula,33.277232,35.578235,1996-03-21,2.0,1.0,Hezbollah
Vettilaikerni,9.575,80.466111,1996-03-30,12.0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
Tunceli,39.106709,39.545246,1996-06-30,10.0,30.0,Unknown
Jaffna,9.666399,80.020477,1996-07-04,37.0,50.0,Liberation Tigers of Tamil Eelam (LTTE)
Adana,36.99154,35.331051,1996-10-25,4.0,0.0,Kurdistan Workers' Party (PKK)
Trincomalee,8.577826,81.218719,1996-10-26,12.0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
Sivas,39.74887,37.016499,1996-10-29,5.0,0.0,Kurdistan Workers' Party (PKK)
Trincomalee district,8.5922,81.196796,1996-11-25,1.0,1.0,Liberation Tigers of Tamil Eelam (LTTE)
Karativu,7.377078,81.841562,1996-12-17,2.0,1.0,Liberation Tigers of Tamil Eelam (LTTE)
Urumqi,43.825645,87.616823,1997-03-01,1.0,0.0,Unknown
Mullaitivu district,9.267091,80.814248,1997-03-24,81.0,58.0,Liberation Tigers of Tamil Eelam (LTTE)
Unknown,31.356553,34.326901,1997-04-01,1.0,0.0,Unknown
Unknown,31.356553,34.326901,1997-04-01,1.0,5.0,Unknown
Naqoura,33.11829,35.139866,1997-05-19,1.0,0.0,Unknown
Jerusalem,31.771599,35.2034,1997-07-30,15.0,170.0,Hamas (Islamic Resistance Movement)
Jerusalem,31.771599,35.2034,1997-09-04,7.0,192.0,Unknown
Colombo,6.941837,79.861687,1997-10-15,18.0,105.0,Liberation Tigers of Tamil Eelam (LTTE)
Colombo,6.941837,79.861687,1997-10-15,18.0,105.0,Liberation Tigers of Tamil Eelam (LTTE)
Unknown,8.885503,80.276733,1997-10-19,109.0,,Liberation Tigers of Tamil Eelam (LTTE)
Galle,6.031537,80.233525,1997-12-28,3.0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
Kandy,7.29384,80.640669,1998-01-25,13.0,15.0,Liberation Tigers of Tamil Eelam (LTTE)
Kandy,7.29384,80.640669,1998-01-26,26.0,,Liberation Tigers of Tamil Eelam (LTTE)
Colombo,6.941837,79.861687,1998-02-06,9.0,15.0,Liberation Tigers of Tamil Eelam (LTTE)
Point Pedro,9.82486,80.236347,1998-02-23,54.0,,Liberation Tigers of Tamil Eelam (LTTE)
Virar,19.45067,72.812571,1998-02-27,2.0,2.0,Unknown
Colombo,6.941837,79.861687,1998-03-05,37.0,260.0,Liberation Tigers of Tamil Eelam (LTTE)
Trincomalee,8.577826,81.218719,1998-03-11,4.0,5.0,Liberation Tigers of Tamil Eelam (LTTE)
Ramallah,31.907141,35.198219,1998-03-30,2.0,0.0,Hamas (Islamic Resistance Movement)
Kfar Houneh,33.4925,35.587222,1998-05-08,2.0,0.0,Hezbollah
Point Pedro,9.82486,80.236347,1998-05-14,4.0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
Lahore,31.50547,74.34288,1998-06-05,3.0,10.0,Unknown
Nairobi,-1.28518,36.821107,1998-08-07,224.0,4000.0,Al-Qaida
Dar es Salaam,-6.813546,39.239418,1998-08-07,11.0,85.0,Al-Qaida
Jaffna,9.666399,80.020477,1998-09-11,21.0,,Liberation Tigers of Tamil Eelam (LTTE)
Kfar Darom,31.401486,34.360052,1998-10-29,2.0,0.0,Hamas (Islamic Resistance Movement)
Mullaitivu,9.267091,80.814248,1998-10-30,10.0,8.0,Liberation Tigers of Tamil Eelam (LTTE)
Jerusalem,31.771599,35.2034,1998-11-06,2.0,21.0,Hamas (Islamic Resistance Movement)
Yuksekova district,37.562515,44.293677,1998-11-17,1.0,5.0,Kurdistan Workers' Party (PKK)
Diyarbakir,37.922218,40.184376,1998-12-01,1.0,8.0,Unknown
New Delhi,28.585836,77.153336,1998-12-18,7.0,47.0,Unknown
Van,38.504136,43.375265,1998-12-24,2.0,22.0,Unknown
Batman,37.885793,41.130124,1999-03-04,1.0,3.0,Kurdistan Workers' Party (PKK)
Duhok,36.860813,42.97646,1999-03-10,1.0,4.0,Unknown
Dahuk,,,1999-03-11,3.0,6.0,Kurdistan Workers' Party (PKK)
Mount Lavinia,6.830119,79.880083,1999-03-15,5.0,10.0,Liberation Tigers of Tamil Eelam (LTTE)
Hatay,36.204751,36.165597,1999-03-16,2.0,0.0,Unknown
Diyarbakir,37.922218,40.184376,1999-03-20,1.0,3.0,Kurdistan Workers' Party (PKK)
Unknown,37.522777,42.455079,1999-03-20,0.0,0.0,Kurdistan Workers' Party (PKK)
Istanbul,41.106178,28.689863,1999-03-26,1.0,10.0,Kurdistan Workers' Party (PKK)
Marcik,39.31408,39.439009,1999-04-03,1.0,0.0,Unknown
Bingol,38.888447,40.501144,1999-04-05,2.0,20.0,Kurdistan Workers' Party (PKK)
Hakkari,37.577039,43.736096,1999-04-08,2.0,5.0,Unknown
Littleton,39.616905,-105.014519,1999-04-20,15.0,24.0,Unknown
Batticaloa,7.733107,81.68882,1999-05-30,3.0,9.0,Liberation Tigers of Tamil Eelam (LTTE)
Adana,36.99154,35.331051,1999-07-05,1.0,17.0,Kurdistan Workers' Party (PKK)
Trincomalee,8.577826,81.218719,1999-07-25,2.0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
Colombo,6.941837,79.861687,1999-07-29,2.0,2.0,Liberation Tigers of Tamil Eelam (LTTE)
Veppankulam,8.792316,80.466026,1999-08-04,15.0,30.0,Liberation Tigers of Tamil Eelam (LTTE)
Batticaloa,7.733107,81.68882,1999-08-09,2.0,,Liberation Tigers of Tamil Eelam (LTTE)
Pulmoddai,8.941674,80.986695,1999-08-16,,,Liberation Tigers of Tamil Eelam (LTTE)
Colombo,6.941837,79.861687,1999-08-20,2.0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
Tunceli,39.106709,39.545246,1999-08-27,1.0,0.0,Turkish Communist Party/Marxist (TKP-ML)
Vavuniya,8.757816,80.487907,1999-09-01,3.0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
Haifa,32.793921,34.990615,1999-09-05,1.0,0.0,Israeli extremists
Tiberias,32.788284,35.521675,1999-09-05,2.0,4.0,Israeli extremists
Srinagar,34.08374,74.789902,1999-11-03,8.0,2.0,Lashkar-e-Taiba (LeT)
Colombo,6.941837,79.861687,1999-12-18,15.0,110.0,Liberation Tigers of Tamil Eelam (LTTE)
Ja-Ela,7.079678,79.890976,1999-12-18,8.0,40.0,Liberation Tigers of Tamil Eelam (LTTE)
Qulaylah,33.317742,35.280762,1999-12-30,1.0,12.0,Hezbollah
Aden,12.825647,44.846416,2000-01-03,0.0,0.0,Al-Qaida
Colombo,6.941837,79.861687,2000-01-05,11.0,25.0,Liberation Tigers of Tamil Eelam (LTTE)
Beijing,39.905556,116.395833,2000-02-15,1.0,,Unknown
Sopore,34.288891,74.463715,2000-04-19,1.0,7.0,Jaish-e-Mohammad (JeM)
General Santos,6.11622,125.169395,2000-05-03,5.0,10.0,Moro Islamic Liberation Front (MILF)
Jaffna,9.666399,80.020477,2000-05-10,,149.0,Liberation Tigers of Tamil Eelam (LTTE)
Kantale,8.351263,81.006993,2000-05-23,2.0,6.0,Liberation Tigers of Tamil Eelam (LTTE)
Vadamarachchi,9.7,80.316667,2000-06-05,34.0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
Colombo,6.941837,79.861687,2000-06-07,24.0,,Liberation Tigers of Tamil Eelam (LTTE)
Alkhan-Yurt,43.03908,45.487556,2000-06-07,3.0,5.0,Chechen Rebels
Grozny,43.320229,45.654491,2000-06-11,5.0,1.0,Chechen Rebels
