city,latitude,longitude,date,nkill,nwound,gname
Khost,33.335258,69.928467,2011-12-21,1.0,0.0,Unknown
Damascus,33.515244,36.292084,2011-12-23,23.0,83.0,Al-Qaida in Iraq
Damascus,33.515244,36.292084,2011-12-23,23.0,83.0,Al-Qaida in Iraq
Bannu,32.987347,70.602524,2011-12-24,7.0,12.0,Tehrik-i-Taliban Pakistan (TTP)
Taloqan,36.733459,69.537758,2011-12-25,20.0,40.0,Islamic Movement of Uzbekistan (IMU)
Dujail,33.835629,44.247406,2011-12-25,3.0,12.0,Unknown
Damaturu,11.74464,11.970257,2011-12-25,4.0,0.0,Boko Haram
Baghdad,33.303566,44.371773,2011-12-26,8.0,32.0,Unknown
Unknown,34.171831,70.621679,2011-12-29,1.0,1.0,Taliban
Quetta,30.200819,66.994354,2011-12-30,14.0,30.0,Baloch Liberation Army (BLA)
Nawa-i-Barakzayi district,31.379885,64.29944,2012-01-02,0.0,0.0,Unknown
Paindakhel,34.343559,67.921173,2012-01-02,1.0,1.0,Unknown
Landi Kotal,34.110325,71.163803,2012-01-02,6.0,1.0,Unknown
Gorali,32.526996,74.096084,2012-01-03,1.0,0.0,Unknown
Kandahar,31.631083,65.742226,2012-01-03,7.0,16.0,Taliban
Kandahar,31.631083,65.742226,2012-01-03,8.0,19.0,Taliban
Al-Batha,31.135535,45.861207,2012-01-05,45.0,70.0,Muslim extremists
Damascus,33.515244,36.292084,2012-01-06,26.0,46.0,Al-Nusrah Front
Khost,33.335258,69.928467,2012-01-08,3.0,1.0,Taliban
Baghdad,33.303566,44.371773,2012-01-09,10.0,28.0,Unknown
Sharana,33.1782,68.752533,2012-01-10,10.0,3.0,Taliban
Nasiriyah,31.044371,46.261452,2012-01-05,46.0,,Unknown
Kandahar,31.631083,65.742226,2012-01-10,1.0,0.0,Taliban
Panjwai,31.544476,65.484566,2012-01-12,6.0,10.0,Taliban
Kirkuk,35.45211,44.375465,2012-01-13,1.0,2.0,Unknown
Dera Ismail Khan,31.834328,70.90905,2012-01-14,8.0,4.0,Tehrik-i-Taliban Pakistan (TTP)
Basra,30.510054,47.778095,2012-01-14,54.0,131.0,Unknown
Ramadi,33.420948,43.295662,2012-01-15,10.0,16.0,Unknown
Ramadi,33.420948,43.295662,2012-01-15,0.0,0.0,Unknown
Ramadi,33.420948,43.295662,2012-01-16,7.0,,Unknown
Ghanikhel district,34.171831,70.621679,2012-01-17,1.0,3.0,Taliban
Kajaki district,32.270119,65.049683,2012-01-18,14.0,22.0,Unknown
Kandahar,31.499139,65.842823,2012-01-19,8.0,8.0,Taliban
Akora Khattak,33.997681,72.127357,2012-01-19,1.0,4.0,Qari Kamran Group
Kano,11.974328,8.50026,2012-01-20,18.0,5.0,Boko Haram
Kano,11.974328,8.50026,2012-01-20,18.0,5.0,Boko Haram
Barmal district,32.708666,69.335432,2012-01-21,4.0,0.0,Taliban
Beledweyne,4.73538,45.2024,2012-01-24,31.0,70.0,Al-Shabaab
Lashkar Gah,31.60063,64.369652,2012-01-26,5.0,31.0,Taliban
Baghdad,33.271403,44.493661,2012-01-27,32.0,60.0,Unknown
Idlib,35.928802,36.631451,2012-01-27,6.0,0.0,Unknown
Dera Ismail Khan,31.834328,70.90905,2012-01-28,2.0,0.0,Unknown
Galkayo,6.774396,47.429031,2012-01-31,6.0,0.0,Al-Shabaab
Baghdad,33.303566,44.371773,2012-02-01,3.0,0.0,Unknown
Deh Rahwod,32.640755,65.570785,2012-02-04,1.0,0.0,Unknown
Kandahar,31.631083,65.742226,2012-02-05,10.0,19.0,Taliban
Kaduna,10.51684,7.433304,2012-02-07,1.0,,Boko Haram
Mogadishu,2.059819,45.326115,2012-02-08,16.0,23.0,Al-Shabaab
Maiduguri,11.840929,13.141459,2012-02-10,4.0,2.0,Boko Haram
Aleppo,36.201721,37.14352,2012-02-10,15.0,100.0,Al-Nusrah Front
Aleppo,36.201721,37.14352,2012-02-10,15.0,100.0,Al-Nusrah Front
Kandahar,31.631083,65.742226,2012-02-12,0.0,0.0,Taliban
Mardan,34.200592,72.048439,2012-02-12,28.0,,Unknown
Kaduna,10.51684,7.433304,2012-02-13,1.0,0.0,Unknown
Aden,12.825647,44.846416,2012-02-14,1.0,0.0,Unknown
Unknown,15.515888,45.449806,2012-02-15,1.0,7.0,Al-Qaida in the Arabian Peninsula (AQAP)
Dir,35.19766,71.874921,2012-02-16,4.0,7.0,Tehrik-i-Taliban Pakistan (TTP)
Peshawar,34.006004,71.53743,2012-02-16,1.0,5.0,Unknown
Parachinar,33.897995,70.107536,2012-02-17,40.0,64.0,Tehrik-e-Taliban Islami (TTI)
Mogasishu,2.059819,45.326115,2012-02-18,0.0,0.0,Al-Shabaab
Baghdad,33.303566,44.371773,2012-02-19,16.0,21.0,Al-Qaida in Iraq
Kandahar,31.631083,65.742226,2012-02-20,2.0,4.0,Unknown
Baqubah,33.74324,44.623825,2012-02-23,2.0,3.0,Al-Qaida in Iraq
Kotwali,34.004299,71.54483,2012-02-24,6.0,6.0,Abdullah Azzam Brigades
Mukalla,14.54397,49.12458,2012-02-25,31.0,50.0,Al-Qaida in the Arabian Peninsula (AQAP)
Jos,9.933526,8.883445,2012-02-26,5.0,38.0,Boko Haram
Jalalabad,34.417122,70.449593,2012-02-27,10.0,12.0,Taliban
Lashkar Gah,31.60063,64.369652,2012-02-29,1.0,6.0,Unknown
Tirah district,33.8125,70.676944,2012-03-02,23.0,20.0,Tehrik-i-Taliban Pakistan (TTP)
Karz,31.571955,65.741539,2012-03-02,1.0,7.0,Taliban
Daraa,32.622334,36.103756,2012-03-03,3.0,20.0,Unknown
Charsadda,34.14658,71.743538,2012-03-03,2.0,5.0,Tehrik-i-Taliban Pakistan (TTP)
Bayda,13.985013,45.558479,2012-03-03,3.0,5.0,Al-Qaida in the Arabian Peninsula (AQAP)
Tamanghasset,22.784648,5.52271,2012-03-03,1.0,15.0,Movement for Oneness and Jihad in West Africa (MUJAO)
Mogadishu,2.059819,45.326115,2012-03-03,1.0,2.0,Unknown
Zinjibar,13.129726,45.385571,2012-03-04,22.0,,Al-Qaida in the Arabian Peninsula (AQAP)
Zinjibar,13.129726,45.385571,2012-03-04,5.0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
Dera Ismail Khan,31.834328,70.90905,2012-03-04,1.0,2.0,Tehrik-i-Taliban Pakistan (TTP)
Lashkar Gah,31.60063,64.369652,2012-03-04,0.0,0.0,Taliban
Jalalabad,34.417122,70.449593,2012-03-05,2.0,11.0,Unknown
Bagram,34.94025,69.254974,2012-03-05,3.0,4.0,Taliban
Karabudakhkent,42.707062,47.563684,2012-03-06,6.0,0.0,Unknown
Baiji,34.92485,43.491413,2012-03-06,1.0,4.0,Unknown
Kifah,36.373718,42.451778,2012-03-07,8.0,7.0,Al-Qaida in Iraq
Hit,33.633896,42.832081,2012-03-07,1.0,2.0,Unknown
Hit,33.633896,42.832081,2012-03-07,1.0,4.0,Unknown
Asadabad,34.875656,71.152008,2012-03-07,0.0,0.0,Unknown
Mosul,36.354145,43.14357,2012-03-07,5.0,3.0,Unknown
Mosul,36.354145,43.14357,2012-03-07,5.0,2.0,Unknown
Kalaya,33.747778,70.961944,2012-03-09,2.0,0.0,Tehrik-i-Taliban Pakistan (TTP)
Badaber,33.91758,71.562035,2012-03-11,18.0,35.0,Tehrik-i-Taliban Pakistan (TTP)
Mudiyah district,13.928919,46.079398,2012-03-11,2.0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
Jos,9.933333,8.883333,2012-03-11,4.0,22.0,Unknown
Sirkanay district,34.801713,71.216143,2012-03-11,0.0,0.0,Unknown
Bayda,13.985013,45.558479,2012-03-13,7.0,7.0,Al-Qaida in the Arabian Peninsula (AQAP)
Mogadishu,2.059819,45.326115,2012-03-14,6.0,10.0,Al-Shabaab
Aden,12.825647,44.846416,2012-03-14,1.0,,Al-Qaida in the Arabian Peninsula (AQAP)
Peshawar,34.006004,71.53743,2012-03-15,2.0,4.0,Tehrik-i-Taliban Pakistan (TTP)
Damascus,33.515244,36.292084,2012-03-17,15.0,70.0,Al-Nusrah Front
Damascus,33.515244,36.292084,2012-03-17,14.0,70.0,Al-Nusrah Front
Damascus,33.515244,36.292084,2012-03-17,2.0,0.0,Unknown
Baghdad,33.303566,44.371773,2012-03-20,3.0,8.0,Al-Qaida in Iraq
Hillah,32.469238,44.416637,2012-03-20,3.0,31.0,Al-Qaida in Iraq
Baghdad,33.303566,44.371773,2012-03-20,6.0,28.0,Al-Qaida in Iraq
Unknown,32.6245,36.105221,2012-03-20,1.0,,Unknown
Husaybah,34.154213,41.572376,2012-03-22,1.0,0.0,Unknown
Bijbehara,33.797161,75.090141,2012-03-22,2.0,20.0,Lashkar-e-Taiba (LeT)
Kandahar,31.631083,65.742226,2012-03-22,3.0,8.0,Taliban
Sandapal,33.825361,70.847724,2012-03-23,14.0,,Tehrik-i-Taliban Pakistan (TTP)
Baghdad,33.303566,44.371773,2012-03-24,0.0,0.0,Unknown
Spin Boldak,31.002735,66.405617,2012-03-24,0.0,0.0,Taliban
Chora district,32.847222,66.05,2012-03-26,1.0,4.0,Taliban
Kabul,34.516895,69.147011,2012-03-26,0.0,0.0,Unknown
Baghdad,33.303566,44.371773,2012-03-27,2.0,2.0,Unknown
Nazran,43.2267,44.770569,2012-04-03,5.0,0.0,Unknown
Mogadishu,2.059819,45.326115,2012-04-04,11.0,,Al-Shabaab
Maymana,35.921051,64.774544,2012-04-04,14.0,23.0,Taliban
Abuja,9.066917,7.483172,2012-04-04,0.0,0.0,Boko Haram
Keshem,36.818111,70.097702,2012-04-05,3.0,16.0,Taliban
Karachi,24.891115,67.143311,2012-04-05,5.0,14.0,Tehrik-i-Taliban Pakistan (TTP)
Asadabad,34.875656,71.152008,2012-04-06,3.0,0.0,Unknown
Mansura,12.867085,44.981911,2012-04-06,2.0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
Bayda,13.985013,45.558479,2012-04-06,1.0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
Aden,12.825647,44.846416,2012-04-06,1.0,0.0,Unknown
Kaduna,10.516667,7.433333,2012-04-08,42.0,10.0,Boko Haram
Baghdad,33.303566,44.371773,2012-04-09,2.0,4.0,Unknown
Sangin district,32.073333,64.833889,2012-04-10,2.0,0.0,Unknown
Guzara,34.203728,62.21962,2012-04-10,12.0,30.0,Taliban
Musa Qala district,32.311872,64.811084,2012-04-10,11.0,,Taliban
Musa Qala district,32.311872,64.811084,2012-04-10,4.0,6.0,Taliban
Kunduz,36.76519,68.798782,2012-04-12,3.0,2.0,Unknown
Zarifi Maina,31.61088,65.700272,2012-04-14,1.0,1.0,Unknown
Kabul,34.516895,69.147011,2012-04-15,3.0,4.0,Haqqani Network
Jalalabad,34.417122,70.449593,2012-04-15,3.0,4.0,Haqqani Network
Gardez,33.598633,69.228996,2012-04-15,2.0,4.0,Haqqani Network
Puli Alam,34.002056,69.031454,2012-04-15,2.0,3.0,Haqqani Network
Kabul,34.516895,69.147011,2012-04-15,2.0,3.0,Haqqani Network
Jalalabad,34.417122,70.449593,2012-04-15,2.0,3.0,Haqqani Network
Al-Hodn,13.883333,45.866667,2012-04-15,5.0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
Gardez,33.598633,69.228996,2012-04-15,2.0,3.0,Haqqani Network
Mukayras,13.943889,45.673611,2012-04-17,6.0,5.0,Al-Qaida in the Arabian Peninsula (AQAP)
Baidoa,3.115641,43.64658,2012-04-17,6.0,0.0,Al-Shabaab
Buriga,12.8,45.033333,2012-04-18,1.0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
Tarmiyah,33.669689,44.381317,2012-04-19,2.0,5.0,Al-Qaida in Iraq
Baqubah,33.74324,44.623825,2012-04-19,2.0,11.0,Al-Qaida in Iraq
Baqubah,33.74324,44.623825,2012-04-19,3.0,2.0,Al-Qaida in Iraq
Taji,33.540672,44.251266,2012-04-19,6.0,9.0,Al-Qaida in Iraq
Mosul,36.354145,43.14357,2012-04-19,0.0,0.0,Al-Qaida in Iraq
Hamah,35.129181,36.760738,2012-04-20,,0.0,Al-Nusrah Front
Wana,32.306099,69.579956,2012-04-21,1.0,2.0,Unknown
Abuja,9.066917,7.483172,2012-04-26,5.0,8.0,Boko Haram
Kaduna,10.516667,7.433333,2012-04-26,3.0,26.0,Boko Haram
Quetta,30.200819,66.994354,2012-04-26,1.0,0.0,Unknown
Abu Gharah,34.04,44.82,2012-04-26,11.0,15.0,Unknown
Al-Midan,33.515244,36.292084,2012-04-27,12.0,28.0,Al-Nusrah Front
Char Rahi Barakat,30.96,61.86,2012-04-28,2.0,4.0,Taliban
Jalango,8.9,11.366667,2012-04-30,12.0,22.0,Boko Haram
Idlib,35.928802,36.631451,2012-04-30,3.0,33.0,Unknown
Idlib,35.928802,36.631451,2012-04-30,4.0,33.0,Unknown
Idlib,35.928802,36.631451,2012-04-30,4.0,34.0,Unknown
Dhusamareb,5.537022,46.38905,2012-05-01,7.0,6.0,Al-Shabaab
Kabul,34.516895,69.147011,2012-05-02,8.0,17.0,Taliban
Makhachkala,42.98542,47.450668,2012-05-03,1.0,51.0,Caucasus Emirate
Makhachkala,42.98542,47.450668,2012-05-03,14.0,50.0,Caucasus Emirate
Khar,34.733517,71.519661,2012-05-04,21.0,40.0,Tehrik-i-Taliban Pakistan (TTP)
Sharana,33.125658,68.763192,2012-05-06,11.0,3.0,Taliban
Damascus,33.515244,36.292084,2012-05-10,57.0,370.0,Al-Nusrah Front
Zhaotong,27.338257,103.717465,2012-05-10,4.0,14.0,Unknown
Yayha Khel,32.937172,68.647247,2012-05-10,11.0,3.0,Taliban
Aleppo,36.201721,37.14352,2012-05-11,1.0,0.0,Unknown
Fallujah,33.349159,43.784199,2012-05-13,3.0,6.0,Unknown
Baghdad,33.303566,44.371773,2012-05-13,4.0,0.0,Unknown
Mosul,36.354145,43.14357,2012-05-15,6.0,15.0,Unknown
Zhari district,31.665015,65.495156,2012-05-15,1.0,0.0,Unknown
Unknown,32.495328,62.262663,2012-05-17,11.0,12.0,Taliban
Alisher,33.449841,70.064041,2012-05-19,14.0,,Taliban
Deir ez-Zor,35.333061,40.138737,2012-05-19,10.0,100.0,Unknown
Kabul,34.516895,69.147011,2012-05-19,0.0,0.0,Mullah Dadullah Front
Tarin Kot,32.61797,65.872375,2012-05-20,5.0,9.0,Taliban
Sanaa,15.325443,44.211895,2012-05-21,97.0,300.0,Al-Qaida in the Arabian Peninsula (AQAP)
Kabul,34.516895,69.147011,2012-05-23,0.0,0.0,Unknown
Pinarbasi,38.722017,36.39132,2012-05-25,3.0,19.0,Kurdistan Workers' Party (PKK)
Spin Boldak district,30.869041,66.141526,2012-05-25,9.0,3.0,Taliban
Hazm,16.165407,44.776897,2012-05-25,15.0,3.0,Al-Qaida in the Arabian Peninsula (AQAP)
Sadaa,16.917494,43.762409,2012-05-25,0.0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
Mianashin district,30.996068,65.475736,2012-05-27,1.0,0.0,Unknown
Muhmand Dara district,34.216997,71.024492,2012-05-29,3.0,2.0,Taliban
Mehrabad,32.666404,65.903629,2012-05-30,0.0,0.0,Unknown
Arghistan district,31.461224,66.52239,2012-05-31,6.0,6.0,Taliban
Nawa-i-Barakzayi district,31.47771,64.289821,2012-05-31,1.0,0.0,Unknown
Khost,33.366843,69.966903,2012-06-01,21.0,,Haqqani Network
Ghanikhel,34.195751,70.786385,2012-06-01,1.0,0.0,Taliban
Unknown,34.171831,70.621679,2012-06-02,1.0,0.0,Taliban
Qaysar district,35.684521,64.292107,2012-06-02,1.0,2.0,Unknown
Yelwa,10.283333,9.783333,2012-06-03,16.0,,Boko Haram
Baghdad,33.303566,44.371773,2012-06-04,26.0,65.0,Al-Qaida in Iraq
Am Surrah,13.657844,45.8434,2012-06-04,6.0,1.0,Al-Qaida in the Arabian Peninsula (AQAP)
Am Surrah,13.657844,45.8434,2012-06-04,1.0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
Shoqra,13.357599,45.69648,2012-06-05,4.0,1.0,Al-Qaida in the Arabian Peninsula (AQAP)
Kandahar,31.631083,65.742226,2012-06-06,12.0,25.0,Taliban
Kandahar,31.631083,65.742226,2012-06-06,13.0,25.0,Taliban
Maymana,35.921051,64.774544,2012-06-06,2.0,8.0,Unknown
Al-Hisn,13.293056,45.295,2012-06-07,0.0,3.0,Al-Qaida in the Arabian Peninsula (AQAP)
Maiduguri,11.840929,13.141459,2012-06-08,7.0,24.0,Boko Haram
Puli Khwaja,35.035732,69.627374,2012-06-09,7.0,9.0,Taliban
Jos,9.933333,8.883333,2012-06-10,2.0,41.0,Boko Haram
Azizabad,33.34964,62.333717,2012-06-10,1.0,2.0,Taliban
Chahar Bolak district,36.841532,66.623572,2012-06-12,4.0,5.0,Taliban
Badaber,33.91758,71.562035,2012-06-12,3.0,2.0,Unknown
Barmal district,32.715659,69.281794,2012-06-12,2.0,0.0,Unknown
Baqubah,33.749892,44.633421,2012-06-13,3.0,7.0,Al-Qaida in Iraq
Mogadishu,2.059819,45.326115,2012-06-13,1.0,2.0,Unknown
Sayyidah Zaynab,33.446476,36.334499,2012-06-14,1.0,14.0,Unknown
Nari district,35.225369,71.528625,2012-06-14,3.0,0.0,Taliban
Saydabad district,34.90733,67.189449,2012-06-14,1.0,0.0,Unknown
Kabul,34.516895,69.147011,2012-06-14,0.0,0.0,Taliban
Spin Boldak,31.002735,66.405617,2012-06-14,0.0,0.0,Taliban
Ghanikhel,34.195499,70.799039,2012-06-15,2.0,0.0,Unknown
Afgoye,2.14383,45.118061,2012-06-16,3.0,3.0,Al-Shabaab
Zaria,11.08192,7.715956,2012-06-17,8.0,27.0,Boko Haram
Zaria,11.08192,7.715956,2012-06-17,7.0,27.0,Boko Haram
Zaria,11.08192,7.715956,2012-06-17,7.0,26.0,Boko Haram
Baqubah,33.74324,44.623825,2012-06-18,16.0,40.0,Al-Qaida in Iraq
Quetta,30.200819,66.994354,2012-06-18,5.0,40.0,Lashkar-e-Jhangvi
Aden,12.825647,44.846416,2012-06-18,4.0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
Shah Mardan,36.95,65.116667,2012-06-19,0.0,0.0,Unknown
Bazidkhel,33.953468,71.542061,2012-06-19,3.0,4.0,Unknown
Kandahar,31.631083,65.742226,2012-06-19,7.0,6.0,Taliban
Deh-e Bagh,31.563177,65.664703,2012-06-19,7.0,10.0,Taliban
Spin Jumat,33.335258,69.928467,2012-06-20,22.0,31.0,Taliban
Sanaa,15.325443,44.211895,2012-06-20,0.0,0.0,Unknown
Karga,34.55,69.05,2012-06-21,25.0,5.0,Taliban
Alisher district,33.45,70.083333,2012-06-23,14.0,6.0,Taliban
Unknown,31.61088,65.700272,2012-06-25,1.0,0.0,Unknown
Hazar Ganji,30.098261,66.944481,2012-06-28,14.0,20.0,Lashkar-e-Jhangvi
Ramadi,33.420948,43.295662,2012-06-28,3.0,6.0,Al-Qaida in Iraq
Zhari district,31.627475,65.564604,2012-06-28,0.0,0.0,Taliban
Kamdesh district,35.409873,71.338644,2012-06-29,31.0,,Taliban
Ouargla,31.96298,5.342011,2012-06-29,2.0,3.0,Movement for Oneness and Jihad in West Africa (MUJAO)
Kandahar,31.631083,65.742226,2012-07-02,8.0,23.0,Taliban
Tikrit,34.621521,43.668377,2012-07-05,1.0,4.0,Unknown
Mosul,36.354145,43.14357,2012-07-05,6.0,16.0,Unknown
Ramadi,33.420948,43.295662,2012-07-06,8.0,38.0,Unknown
Kandahar,31.631083,65.742226,2012-07-09,5.0,6.0,Taliban
Kandahar,31.631083,65.742226,2012-07-09,1.0,6.0,Taliban
Sheberghan,36.674671,65.748405,2012-07-09,1.0,26.0,Taliban
Sanaa,15.325443,44.211895,2012-07-11,11.0,20.0,Al-Qaida in the Arabian Peninsula (AQAP)
Maiduguri,11.840929,13.141459,2012-07-13,6.0,6.0,Boko Haram
Aybak,36.266933,68.019691,2012-07-14,24.0,60.0,Taliban
Muhradah,35.248444,36.571445,2012-07-14,5.0,0.0,Unknown
Bannu,32.987347,70.602524,2012-07-16,2.0,3.0,Tehrik-i-Taliban Pakistan (TTP)
Ebrahihim Khel,33.981239,68.86689,2012-07-18,4.0,4.0,Taliban
Burgas,42.570278,27.515278,2012-07-18,7.0,30.0,Hezbollah
Damascus,33.515244,36.292084,2012-07-18,5.0,,Free Syrian Army
Spin Thal,33.348384,70.53988,2012-07-21,10.0,20.0,Tehrik-i-Taliban Pakistan (TTP)
Taji,33.540672,44.251266,2012-07-23,12.0,10.0,Al-Qaida in Iraq
Al-Ba'aj,35.713266,41.760647,2012-07-23,1.0,7.0,Al-Qaida in Iraq
Unknown,36.229574,42.236244,2012-07-23,,,Al-Qaida in Iraq
Ramadi,33.420948,43.295662,2012-07-28,0.0,0.0,Unknown
Kano,11.974328,8.50026,2012-07-29,4.0,0.0,Boko Haram
Sokoto,13.11772,5.393955,2012-07-30,1.0,6.0,Boko Haram
Sokoto,13.11772,5.393955,2012-07-30,1.0,1.0,Boko Haram
Baghdad,33.303566,44.371773,2012-07-31,11.0,13.0,Al-Qaida in Iraq
Mogadishu,2.059819,45.326115,2012-08-01,2.0,0.0,Al-Shabaab
Multan,30.190189,71.458023,2012-08-01,1.0,0.0,Tehrik-i-Taliban Pakistan (TTP)
Mahuta,11.283333,7.8,2012-08-02,1.0,0.0,Unknown
Kirkuk,35.45211,44.375465,2012-08-02,5.0,1.0,Unknown
Baiji,34.92485,43.491413,2012-08-02,5.0,1.0,Unknown
Fallujah,33.349159,43.784199,2012-08-02,0.0,0.0,Unknown
Potiskum district,11.70896,11.06997,2012-08-03,1.0,5.0,Boko Haram
Jaar,13.219398,45.307838,2012-08-04,46.0,40.0,Al-Qaida in the Arabian Peninsula (AQAP)
Damaturu,11.74464,11.970257,2012-08-05,10.0,7.0,Boko Haram
Unknown,14.75463,46.516262,2012-08-05,0.0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
Grozny,43.320229,45.654491,2012-08-06,5.0,3.0,Unknown
Cukurca district,37.294346,43.673306,2012-08-05,19.0,15.0,Kurdistan Workers' Party (PKK)
Unknown,34.014552,69.192392,2012-08-07,1.0,12.0,Taliban
Asadabad,34.875656,71.152008,2012-08-08,7.0,1.0,Taliban
Jaar,13.219398,45.307838,2012-08-08,1.0,6.0,Al-Qaida in the Arabian Peninsula (AQAP)
Dashti Archi district,37.035818,69.179698,2012-08-08,1.0,2.0,Unknown
Mosul,36.354145,43.14357,2012-08-10,4.0,20.0,Unknown
Unknown,,,2012-08-12,0.0,0.0,Unknown
Zaranj,30.959932,61.86895,2012-08-13,2.0,0.0,Unknown
Zaranj,30.959932,61.86895,2012-08-14,11.0,37.0,Taliban
Zaranj,30.959932,61.86895,2012-08-14,11.0,37.0,Taliban
Zaranj,30.959932,61.86895,2012-08-14,11.0,36.0,Taliban
Unknown,10.516667,7.433333,2012-08-14,2.0,0.0,Boko Haram
Sanaa,15.325443,44.211895,2012-08-14,1.0,0.0,Unknown
Maiduguri,11.840929,13.141459,2012-08-15,2.0,3.0,Boko Haram
Daquq,35.137009,44.44664,2012-08-16,3.0,5.0,Al-Qaida in Iraq
Tal Afar,36.376823,42.448875,2012-08-16,8.0,10.0,Unknown
Kamra,33.857616,72.393265,2012-08-16,11.0,0.0,Tehrik-i-Taliban Pakistan (TTP)
Sharifabad,30.209304,67.018137,2012-08-18,6.0,0.0,Unknown
Ramadi,33.420948,43.295662,2012-08-18,0.0,0.0,Unknown
Mudiyah,13.92891,46.079328,2012-08-19,2.0,6.0,Al-Qaida in the Arabian Peninsula (AQAP)
Sagopshi,43.480406,44.589858,2012-08-19,8.0,15.0,Caucasus Emirate
Maiduguri,11.840929,13.141459,2012-08-20,0.0,0.0,Boko Haram
Kandahar,31.631083,65.742226,2012-08-27,5.0,20.0,Taliban
Tarin Kot,32.61797,65.872375,2012-08-27,1.0,,Unknown
Mosul,36.354145,43.14357,2012-08-27,2.0,3.0,Unknown
Chirkey,42.963249,46.976908,2012-08-28,7.0,0.0,Muslim extremists
Mano Gai,34.988941,70.911217,2012-08-28,6.0,1.0,Taliban
Ghazni,33.542622,68.415329,2012-08-28,1.0,0.0,Unknown
Saydabad,34.00843,68.717888,2012-09-01,14.0,69.0,Taliban
Deir ez-Zor,35.333061,40.138737,2012-09-01,2.0,2.0,Unknown
Peshawar,34.006004,71.53743,2012-09-03,3.0,21.0,Tehrik-i-Taliban Pakistan (TTP)
Dur Baba,34.03949,70.930077,2012-09-04,26.0,50.0,Taliban
Jandol,34.939722,71.648611,2012-09-05,1.0,3.0,Unknown
Kabul,34.516895,69.147011,2012-09-08,7.0,4.0,Taliban
Kunduz,36.705776,68.87706,2012-09-10,17.0,21.0,Taliban
Koshk-e Kohneh,34.87048,62.50668,2012-09-11,6.0,6.0,Unknown
Sultangazi district,41.125489,28.871312,2012-09-11,2.0,7.0,Devrimici Halk Kurtulus Cephesi (DHKP/C)
Mogadishu,2.059819,45.326115,2012-09-12,8.0,2.0,Al-Shabaab
Saraqib,35.868511,36.804665,2012-09-12,19.0,,Free Syrian Army
Washer district,31.866667,64.194167,2012-09-15,16.0,10.0,Taliban
Baghdad,33.303566,44.371773,2012-09-17,8.0,24.0,Unknown
Kabul,34.516895,69.147011,2012-09-18,13.0,8.0,Hizb-I-Islami
Gereshk,31.825871,64.576431,2012-09-18,3.0,5.0,Taliban
Watapur,34.910703,71.127369,2012-09-18,2.0,2.0,Taliban
Mastung,29.803965,66.85099,2012-09-18,4.0,9.0,Jaish-e-Islam
Kandahar,31.631083,65.742226,2012-09-19,4.0,5.0,Taliban
Hibhib,33.784248,44.50972,2012-09-19,4.0,2.0,Unknown
Mogadishu,2.059819,45.326115,2012-09-20,22.0,4.0,Al-Shabaab
Har Harif,30.495131,34.559644,2012-09-21,4.0,1.0,Ansar Bayt al-Maqdis (Ansar Jerusalem)
Aden,12.825647,44.846416,2012-09-22,1.0,4.0,Al-Qaida in the Arabian Peninsula (AQAP)
Bauchi,10.30982,9.845172,2012-09-23,3.0,48.0,Boko Haram
Shahjoy,32.519241,67.416481,2012-09-23,2.0,3.0,Taliban
Hit,33.633896,42.832081,2012-09-24,5.0,6.0,Unknown
Damascus,33.515244,36.292084,2012-09-26,6.0,14.0,Tajamo Ansar al-Islam
Puli Alam,34.002056,69.031454,2012-09-26,3.0,0.0,Taliban
Tikrit,34.621521,43.668377,2012-09-27,13.0,34.0,Al-Qaida in Iraq
Lawdar,13.887403,45.863647,2012-09-29,3.0,7.0,Al-Qaida in the Arabian Peninsula (AQAP)
Qamishli,37.05336,41.227345,2012-09-30,5.0,12.0,Unknown
Baghdad,33.303566,44.371773,2012-09-30,2.0,7.0,Al-Qaida in Iraq
Kut,32.533287,45.829453,2012-09-30,6.0,6.0,Al-Qaida in Iraq
Baghdad,33.303566,44.371773,2012-09-30,2.0,4.0,Al-Qaida in Iraq
Khost,33.335258,69.928467,2012-10-01,21.0,57.0,Taliban
Kargilik,37.883071,77.413693,2012-10-01,1.0,,Unknown
Aleppo,36.201721,37.14352,2012-10-03,12.0,23.0,Al-Nusrah Front
Aleppo,36.201721,37.14352,2012-10-03,11.0,23.0,Al-Nusrah Front
Aleppo,36.201721,37.14352,2012-10-03,11.0,22.0,Al-Nusrah Front
Aleppo,36.201721,37.14352,2012-10-03,11.0,22.0,Al-Nusrah Front
Kandahar,31.631083,65.742226,2012-10-05,0.0,0.0,Taliban
Afgoye,2.14383,45.118061,2012-10-06,1.0,0.0,Al-Shabaab
Kajaki,32.270119,65.049683,2012-10-07,1.0,0.0,Taliban
Lashkar Gah,31.60063,64.369652,2012-10-08,3.0,15.0,Taliban
